!   Filename:    atl008s.dgn
!   Date:        11/15/2016  8:24:47 AM
!   9900    33 10 13.0000  084 47 11.0000
!   9901    00 00 00.0000  084 47 11.0000
!   9902    34 10 13.0000  000 00 00.0000
!   9903    32 10 13.0000  000 00 00.0000
!   9904    00 00 00.0000  000 00 00.0000
!   9905    00 00 00.0000  000 00 00.0000
!   9906    00 00 00.0000  000 00 00.0000
!   9907    00 00 00.0000  000 00 00.0000
!   9908    00 00 00.0000  000 00 00.0000
!   9909    400000
LINE !
GP 35 08 11.4189  087 23 11.4735  !
GP 35 06 05.9791  087 25 24.6228  !
GP 35 03 58.7847  087 27 35.2290  !
GP 35 01 49.8698  087 29 43.2604  !
GP 34 59 39.2689  087 31 48.6865  !
GP 34 57 27.0167  087 33 51.4772  !
GP 34 55 13.1486  087 35 51.6036  !
GP 34 52 57.7001  087 37 49.0373  !
GP 34 50 40.7072  087 39 43.7509  !
GP 34 48 22.2064  087 41 35.7179  !
GP 34 46 02.2342  087 43 24.9126  !
GP 34 43 40.8277  087 45 11.3100  !
GP 34 41 18.0243  087 46 54.8862  !
GP 34 38 53.8615  087 48 35.6179  !
GP 34 36 28.3775  087 50 13.4829  !
GP 34 34 01.6103  087 51 48.4596  !
GP 34 31 33.5986  087 53 20.5275  !
GP 34 29 04.3812  087 54 49.6668  !
GP 34 26 33.9971  087 56 15.8586  !
GP 34 24 02.4855  087 57 39.0849  !
GP 34 21 29.8861  087 58 59.3284  !
GP 34 18 56.2386  088 00 16.5730  !
GP 34 16 21.5829  088 01 30.8030  !
GP 34 13 45.9593  088 02 42.0039  !
GP 34 11 09.4079  088 03 50.1621  !
GP 34 08 31.9695  088 04 55.2644  !
GP 34 05 53.6846  088 05 57.2991  !
GP 34 03 14.5941  088 06 56.2547  !
GP 34 00 34.7390  088 07 52.1211  !
GP 33 57 54.1603  088 08 44.8887  !
GP 33 55 12.8995  088 09 34.5488  !
GP 33 52 30.9977  088 10 21.0937  !
GP 33 49 48.4964  088 11 04.5164  !
GP 33 47 05.4372  088 11 44.8107  !
GP 33 44 21.8617  088 12 21.9714  !
GP 33 41 37.8114  088 12 55.9939  !
GP 33 38 53.3283  088 13 26.8747  !
GP 33 36 08.4540  088 13 54.6107  !
GP 33 33 23.2303  088 14 19.2001  !
GP 33 30 37.6991  088 14 40.6417  !
GP 33 27 51.9022  088 14 58.9349  !
GP 33 25 05.8814  088 15 14.0801  !
GP 33 22 19.6786  088 15 26.0787  !
GP 33 19 33.3356  088 15 34.9324  !
GP 33 16 46.8941  088 15 40.6441  !
GP 33 14 00.3959  088 15 43.2172  !
GP 33 11 13.8827  088 15 42.6562  !
GP 33 08 27.3961  088 15 38.9659  !
GP 33 05 40.9776  088 15 32.1523  !
GP 33 02 54.6689  088 15 22.2220  !
GP 33 00 08.5111  088 15 09.1821  !
GP 32 57 22.5457  088 14 53.0408  !
GP 32 54 36.8137  088 14 33.8069  !
GP 32 51 51.3563  088 14 11.4899  !
GP 32 49 06.2144  088 13 46.1000  !
GP 32 46 21.4288  088 13 17.6482  !
GP 32 43 37.0400  088 12 46.1461  !
GP 32 40 53.0887  088 12 11.6060  !
GP 32 38 09.6151  088 11 34.0411  !
GP 32 35 26.6593  088 10 53.4651  !
GP 32 32 44.2613  088 10 09.8922  !
GP 32 30 02.4610  088 09 23.3377  !
GP 32 27 21.2978  088 08 33.8173  !
GP 32 24 40.8111  088 07 41.3473  !
GP 32 22 01.0400  088 06 45.9448  !
GP 32 19 22.0235  088 05 47.6275  !
GP 32 16 43.8002  088 04 46.4137  !
GP 32 14 06.4086  088 03 42.3224  !
GP 32 11 29.8867  088 02 35.3730  !
GP 32 08 54.2726  088 01 25.5858  !
GP 32 06 19.6039  088 00 12.9816  !
GP 32 03 45.9179  087 58 57.5816  !
GP 32 01 13.2518  087 57 39.4079  !
GP 31 58 41.6422  087 56 18.4829  !
GP 31 56 11.1258  087 54 54.8298  !
GP 31 53 41.7386  087 53 28.4723  !
GP 31 51 13.5166  087 51 59.4345  !
GP 31 48 46.4953  087 50 27.7412  !
GP 31 46 20.7099  087 48 53.4178  !
GP 31 43 56.1952  087 47 16.4901  !
GP 31 41 32.9859  087 45 36.9843  !
GP 31 39 11.1161  087 43 54.9275  !
GP 31 36 50.6196  087 42 10.3469  !
GP 31 34 31.5300  087 40 23.2706  !
GP 31 32 13.8801  087 38 33.7268  !
GP 31 29 57.7029  087 36 41.7444  !
GP 31 27 43.0306  087 34 47.3527  !
GP 31 25 29.8951  087 32 50.5816  !
GP 31 23 18.3280  087 30 51.4614  !
GP 31 21 08.3604  087 28 50.0226  !
GP 31 19 00.0231  087 26 46.2966  !
GP 31 16 53.3463  087 24 40.3149  !
GP 31 14 48.3599  087 22 32.1096  !
GP 31 12 45.0935  087 20 21.7130  !
GP 31 10 43.5760  087 18 09.1581  !
GP 31 08 43.8360  087 15 54.4782  !
GP 31 06 45.9017  087 13 37.7068  !
GP 31 04 49.8008  087 11 18.8781  !
GP 31 02 55.5605  087 08 58.0265  !
GP 31 01 03.2076  087 06 35.1869  !
GP 30 59 12.7684  087 04 10.3943  !
GP 30 57 24.2688  087 01 43.6843  !
GP 30 55 37.7342  086 59 15.0929  !
GP 30 53 53.1894  086 56 44.6563  !
GP 30 52 10.6589  086 54 12.4110  !
GP 30 50 30.1666  086 51 38.3939  !
GP 30 48 51.7359  086 49 02.6422  !
GP 30 47 15.3897  086 46 25.1936  !
GP 30 45 41.1506  086 43 46.0857  !
GP 30 44 09.0404  086 41 05.3568  !
GP 30 42 39.0805  086 38 23.0453  !
GP 30 41 11.2919  086 35 39.1898  !
GP 30 39 45.6950  086 32 53.8293  !
GP 30 38 22.3095  086 30 07.0032  !
GP 30 37 01.1549  086 27 18.7508  !
GP 30 35 42.2500  086 24 29.1120  !
GP 30 34 25.6130  086 21 38.1266  !
GP 30 33 11.2617  086 18 45.8351  !
GP 30 31 59.2134  086 15 52.2777  !
GP 30 30 49.4846  086 12 57.4953  !
GP 30 29 42.0915  086 10 01.5287  !
GP 30 28 37.0497  086 07 04.4189  !
GP 30 27 34.3742  086 04 06.2073  !
GP 30 26 34.0794  086 01 06.9355  !
GP 30 25 36.1794  085 58 06.6449  !
GP 30 24 40.6874  085 55 05.3776  !
GP 30 23 47.6163  085 52 03.1754  !
GP 30 22 56.9782  085 49 00.0807  !
GP 30 22 08.7849  085 45 56.1357  !
GP 30 21 23.0474  085 42 51.3828  !
GP 30 20 39.7764  085 39 45.8647  !
GP 30 19 58.9817  085 36 39.6242  !
GP 30 19 20.6727  085 33 32.7041  !
GP 30 18 44.8583  085 30 25.1473  !
GP 30 18 11.5467  085 27 16.9971  !
GP 30 17 40.7456  085 24 08.2965  !
GP 30 17 12.4620  085 20 59.0888  !
GP 30 16 46.7025  085 17 49.4175  !
GP 30 16 23.4729  085 14 39.3260  !
GP 30 16 02.7787  085 11 28.8577  !
GP 30 15 44.6245  085 08 18.0563  !
GP 30 15 29.0145  085 05 06.9654  !
GP 30 15 15.9524  085 01 55.6287  !
GP 30 15 05.4411  084 58 44.0899  !
GP 30 14 57.4830  084 55 32.3929  !
GP 30 14 52.0800  084 52 20.5813  !
GP 30 14 49.2333  084 49 08.6990  !
GP 30 14 48.9436  084 45 56.7899  !
GP 30 14 51.2108  084 42 44.8977  !
GP 30 14 56.0346  084 39 33.0662  !
GP 30 15 03.4138  084 36 21.3394  !
GP 30 15 13.3467  084 33 09.7609  !
GP 30 15 25.8310  084 29 58.3746  !
